,년월,연도,월,시도,사용량
541,2017.3,2017,03,제주특별자치도,415698
542,2017.3,2017,03,충청남도,4277074
543,2017.3,2017,03,충청북도,2138945
544,2018.3,2018,03,강원도,1485135
545,2018.3,2018,03,경기도,9993520
546,2018.3,2018,03,경상남도,2967940
547,2018.3,2018,03,경상북도,3850248
548,2018.3,2018,03,광주광역시,698660
549,2018.3,2018,03,대구광역시,1253100
550,2018.3,2018,03,대전광역시,784247
551,2018.3,2018,03,부산광역시,1714122
552,2018.3,2018,03,서울특별시,3657824
553,2018.3,2018,03,세종특별자치시,251895
554,2018.3,2018,03,울산광역시,2696446
555,2018.3,2018,03,인천광역시,2050296
556,2018.3,2018,03,전라남도,2621639
557,2018.3,2018,03,전라북도,1926654
558,2018.3,2018,03,제주특별자치도,431990
559,2018.3,2018,03,충청남도,4370209
560,2018.3,2018,03,충청북도,2182346
561,2019.3,2019,03,강원도,1401415
562,2019.3,2019,03,경기도,10069948
563,2019.3,2019,03,경상남도,2903814
564,2019.3,2019,03,경상북도,3868963
565,2019.3,2019,03,광주광역시,682608
566,2019.3,2019,03,대구광역시,1213326
567,2019.3,2019,03,대전광역시,759955
568,2019.3,2019,03,부산광역시,1652037
569,2019.3,2019,03,서울특별시,3582654
570,2019.3,2019,03,세종특별자치시,259636
571,2019.3,2019,03,울산광역시,2809607
572,2019.3,2019,03,인천광역시,2006746
573,2019.3,2019,03,전라남도,2831531
574,2019.3,2019,03,전라북도,1934090
575,2019.3,2019,03,제주특별자치도,451731
576,2019.3,2019,03,충청남도,4414219
577,2019.3,2019,03,충청북도,2246393
578,2020.3,2020,03,강원도,1400869
579,2020.3,2020,03,경기도,10401852
580,2020.3,2020,03,경상남도,2954776
581,2020.3,2020,03,경상북도,3480140
582,2020.3,2020,03,광주광역시,696886
583,2020.3,2020,03,대구광역시,1200565
584,2020.3,2020,03,대전광역시,771329
585,2020.3,2020,03,부산광역시,1670111
586,2020.3,2020,03,서울특별시,3657444
587,2020.3,2020,03,세종특별자치시,280549
588,2020.3,2020,03,울산광역시,2856122
589,2020.3,2020,03,인천광역시,1997984
590,2020.3,2020,03,전라남도,2603919
591,2020.3,2020,03,전라북도,1740083
592,2020.3,2020,03,제주특별자치도,451371
593,2020.3,2020,03,충청남도,4415486
594,2020.3,2020,03,충청북도,2291113
595,2021.3,2021,03,강원도,1395074
596,2021.3,2021,03,경기도,10668287
597,2021.3,2021,03,경상남도,2991661
598,2021.3,2021,03,경상북도,3621472
599,2021.3,2021,03,광주광역시,697761
600,2021.3,2021,03,대구광역시,1222748
601,2021.3,2021,03,대전광역시,771955
602,2021.3,2021,03,부산광역시,1656492
603,2021.3,2021,03,서울특별시,3550751
604,2021.3,2021,03,세종특별자치시,296000
605,2021.3,2021,03,울산광역시,2812601
606,2021.3,2021,03,인천광역시,2021302
607,2021.3,2021,03,전라남도,2724005
608,2021.3,2021,03,전라북도,1771153
609,2021.3,2021,03,제주특별자치도,450805
610,2021.3,2021,03,충청남도,4077387
611,2021.3,2021,03,충청북도,2344911
612,2010.4,2010,04,강원도,1317499
613,2010.4,2010,04,경기도,7727001
614,2010.4,2010,04,경상남도,2665253
615,2010.4,2010,04,경상북도,3454660
616,2010.4,2010,04,광주광역시,642843
617,2010.4,2010,04,대구광역시,1199557
618,2010.4,2010,04,대전광역시,724076
619,2010.4,2010,04,부산광역시,1682021
620,2010.4,2010,04,서울특별시,3719082
621,2010.4,2010,04,세종특별자치시,0
622,2010.4,2010,04,울산광역시,2170165
623,2010.4,2010,04,인천광역시,1825715
624,2010.4,2010,04,전라남도,2049713
625,2010.4,2010,04,전라북도,1609044
626,2010.4,2010,04,제주특별자치도,300520
627,2010.4,2010,04,충청남도,3198820
628,2010.4,2010,04,충청북도,1682392
629,2011.4,2011,04,강원도,1361937
630,2011.4,2011,04,경기도,7992730
631,2011.4,2011,04,경상남도,2770642
632,2011.4,2011,04,경상북도,3721268
633,2011.4,2011,04,광주광역시,669154
634,2011.4,2011,04,대구광역시,1216588
635,2011.4,2011,04,대전광역시,739750
636,2011.4,2011,04,부산광역시,1709300
637,2011.4,2011,04,서울특별시,3682652
638,2011.4,2011,04,세종특별자치시,0
639,2011.4,2011,04,울산광역시,2326725
640,2011.4,2011,04,인천광역시,1859019
641,2011.4,2011,04,전라남도,2310756
642,2011.4,2011,04,전라북도,1764514
643,2011.4,2011,04,제주특별자치도,314060
644,2011.4,2011,04,충청남도,3521544
645,2011.4,2011,04,충청북도,1755631
646,2012.4,2012,04,강원도,1382879
647,2012.4,2012,04,경기도,8233401
